Reg_Date,Reg_Year,Prop_Name_ENG,ADDRESS_ENG,Prop_Type,Estate_Size,Tower,Floor,Flat,Bed_Room,Roof,Build_Ages,Rehab_Year,SalePrice_10k,SaleableArea,Gross Area,SaleableAreaPrice,Gross Area_Price,Kindergarten,Primary_Schools,Secondary_Schools,Parks,Library,Bus_Route,Mall,Wet Market,Latitude,Longitude
26/10/2016,2016,18 SHELLEY STREET,18 SHELLEY STREET,Single,1,,3,18,,N,40,,685,464,--,"$14,763 ",--,1,2,1,6,0,52,0,0,22.281442,114.152991
16/11/2017,2017,Lilian Court,6-8 SHELLEY STREET,Single,1,,19,A,2,N,24,,538,333,522,"$16,156 ","$10,307 ",1,2,0,4,0,29,0,0,22.281865,114.153329
11/10/2016,2016,Lilian Court,6-8 SHELLEY STREET,Single,1,,6,B,2,N,23,,595,333,522,"$17,868 ","$11,398 ",1,2,0,4,0,29,0,0,22.281865,114.153329
18/10/2017,2017,Felicity Building,9-13 SHELLEY STREET,Single,1,,20,E,,N,39,,490,,--,--,--,1,1,1,9,0,31,0,0,22.281688,114.152795
18/10/2017,2017,9-13 SHELLEY STREET,9-13 SHELLEY STREET,Single,1,,2,A,,N,51,,720,370,--,"$19,459 ",--,1,0,1,7,0,45,0,0,22.281688,114.152795
6/2/2017,2017,9-13 SHELLEY STREET,9-13 SHELLEY STREET,Single,1,,3,B,,N,51,,620,370,--,"$16,757 ",--,1,0,1,7,0,45,0,0,22.281688,114.152795
6/2/2018,2018,Arbuthnot House,10-14 ARBUTHNOT ROAD,Single,1,,6,B,,N,39,,900,539,687,"$16,698 ","$13,100 ",3,2,1,3,1,44,0,0,22.279982,114.154755
16/11/2017,2017,Arbuthnot House,10-14 ARBUTHNOT ROAD,Single,1,,16,B,,N,38,,1350,539,687,"$25,046 ","$19,651 ",3,2,1,3,1,44,0,0,22.279982,114.154755
7/4/2017,2017,Arbuthnot House,10-14 ARBUTHNOT ROAD,Single,1,,16,A,,N,38,,900,506,658,"$17,787 ","$13,678 ",3,2,1,3,1,44,0,0,22.279982,114.154755
18/4/2017,2017,Arbuthnot House,10-14 ARBUTHNOT ROAD,Single,1,,15,B,,N,38,,860,539,687,"$15,955 ","$12,518 ",3,2,1,3,1,44,0,0,22.279982,114.154755
4/12/2017,2017,Bel Mount Garden,15 ARBUTHNOT ROAD,Single,1,,17,B,2,N,24,,980,511,780,"$19,178 ","$12,564 ",3,2,1,3,1,46,0,0,22.279597,114.154444
12/9/2016,2016,Bel Mount Garden,15 ARBUTHNOT ROAD,Single,1,,6,B,2,N,23,,868,511,780,"$16,986 ","$11,128 ",3,2,1,3,1,46,0,0,22.279597,114.154444
14/11/2016,2016,Bel Mount Garden,15 ARBUTHNOT ROAD,Single,1,,8,B,2,N,23,,902,511,780,"$17,652 ","$11,564 ",3,2,1,3,1,46,0,0,22.279597,114.154444
18/5/2016,2016,Bel Mount Garden,15 ARBUTHNOT ROAD,Single,1,,27,A,2,N,23,,860,511,780,"$16,830 ","$11,026 ",3,2,1,3,1,46,0,0,22.279597,114.154444
6/12/2017,2017,Mandarin Court,16 ARBUTHNOT ROAD,Single,1,,5,A,,N,30,,750,447,583,"$16,779 ","$12,864 ",2,2,1,2,2,40,0,0,22.279891,114.154792
25/1/2018,2018,Fortune Court,18-20 ARBUTHNOT ROAD,Single,1,,22,A,,N,23,,720,393,645,"$18,321 ","$11,163 ",3,2,1,2,1,40,0,0,22.279793,114.154723
11/2/2016,2016,Shiu King Court,4-8 ARBUTHNOT ROAD,Single,1,,6,A,3,N,29,,748,481,631,"$15,551 ","$11,854 ",3,2,1,2,1,48,0,0,22.280136,114.154688
31/1/2018,2018,Shiu King Court,4-8 ARBUTHNOT ROAD,Single,1,,8,B,3,N,31,,1028,526,688,"$19,544 ","$14,942 ",3,2,1,2,1,48,0,0,22.280136,114.154688
14/2/2018,2018,Elgin Street46-50_,Elgin Street46-50_,Single,1,,5,46,,Y,50,,725,321,550,"$22,586 ","$13,182 ",3,2,1,4,0,52,0,0,22.280973,114.152969
25/7/2017,2017,Winly Building,1-5 ELGIN STREET,Single,1,,14,C,2,N,37,2016,567,309,415,"$18,350 ","$13,663 ",1,1,1,6,0,36,0,0,22.283016,114.152458
6/6/2017,2017,Winly Building,1-5 ELGIN STREET,Single,1,,7,B,2,N,37,2016,590,360,482,"$16,389 ","$12,241 ",1,1,1,6,0,36,0,0,22.283016,114.152458
24/5/2017,2017,Winly Building,1-5 ELGIN STREET,Single,1,,13,A,2,N,37,2016,600,309,415,"$19,417 ","$14,458 ",1,1,1,6,0,36,0,0,22.283016,114.152458
4/5/2017,2017,Winly Building,1-5 ELGIN STREET,Single,1,,5,C,2,N,37,2016,468,309,415,"$15,146 ","$11,277 ",1,1,1,6,0,36,0,0,22.283016,114.152458
11/8/2016,2016,Winly Building,1-5 ELGIN STREET,Single,1,,6,C,2,N,36,2016,475,309,415,"$15,372 ","$11,446 ",1,1,1,6,0,36,0,0,22.283016,114.152458
8/3/2016,2016,Winly Building,1-5 ELGIN STREET,Single,1,,4,B,2,N,36,2016,555,360,482,"$15,417 ","$11,515 ",1,1,1,6,0,36,0,0,22.283016,114.152458
5/12/2017,2017,10 Elgin Street,10 Elgin Street,Single,1,,2,10,,N,53,,700,389,450,"$17,995 ","$15,556 ",2,1,1,8,0,32,0,0,22.282772,114.152562
23/1/2018,2018,"No. 14E-14F, Elgin Street","No. 14E-14F, Elgin Street",Single,1,,2,A,,Y,43,,630,310,--,"$20,323 ",--,1,0,1,5,0,45,0,0,22.282646,114.152504
